ID,country,year,lineage,,place,province,latitude,longitude,species,date
4B-21-126,Philippines,2021,Asian SEA4_A1.1.2,,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,26/01/2021
4B-21-423,Philippines,2021,Asian SEA4_A1.1.2,,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,23/04/2021
Z-06-295,Philippines,2006,Asian SEA4_B1.1,,Calatagan,Batangas,13.86384068,120.6585868,Canis familiaris,22/07/2006
Z-13-204,Philippines,2013,Asian SEA4_A1.3.1,,Calauan,Laguna,14.13318557,121.2951683,Canis familiaris,26/09/2013
4B-2422,Philippines,2022,Asian SEA4_A1.1.2,,Calintaan,Occidental Mindoro,12.59217706,121.082659,Canis familiaris,04/02/2022
Z-12-208,Philippines,2012,Asian SEA4_A1.2,,Caloocan  ,Metro Manila,14.74647256,121.0486805,Canis familiaris,02/10/2012
Z-18-224,Philippines,2018,Asian SEA4_A1.2,,Caloocan  ,Metro Manila,14.74647256,121.0486805,Canis familiaris,28/10/2018
Z-16-209,Philippines,2016,Asian SEA4_A1.3,,Candelaria,Quezon,13.94085961,121.4302409,Canis familiaris,14/12/2016
Z-16-151,Philippines,2016,Asian SEA4_A1.2,,Carmona,Cavite,14.29896527,121.0371349,Canis familiaris,05/09/2016
Z-13-037,Philippines,2013,Asian SEA4_A1.3.1,,Cavinti,Laguna,14.24291032,121.5551642,Canis familiaris,25/02/2013
Z-13-259,Philippines,2013,Asian SEA4_C1,,Cavite  ,Cavite,14.48021461,120.8978023,Canis familiaris,18/12/2013
Z-14-106,Philippines,2014,Asian SEA4_A1.1.2,,Cavite  ,Cavite,14.48021461,120.8978023,Felis catus,08/05/2014
Z-14-098,Philippines,2014,Asian SEA4_A1.1.2,,Cuenca,Batangas,13.90952328,121.0537657,Canis familiaris,29/04/2014
98-134,Philippines,1998,Asian SEA4_A1,,Dasmarinas,Cavite,14.31850325,120.9657797,Canis familiaris,09/02/1998
Z-16-196,Philippines,2016,Asian SEA4_A1.1.2,,Dasmarinas  ,Cavite,14.31850325,120.9657797,Canis familiaris,23/11/2016
R11-22-002,Philippines,2022,Asian SEA4_A1.2,,Davao ,Davao del Sur,7.254430625,125.4144871,Canis familiaris,05/01/2022
RADDL3-845,Philippines,2015,Asian SEA4_A1.2,,Floridablanca,Pampanga,14.98771276,120.4868625,Canis familiaris,02/09/2015
4A-22-171,Philippines,2022,Asian SEA4_B1.1.1,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,06/02/2022
Z-07-07,Philippines,2007,Asian SEA4_B1.1.1,,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,08/01/2007
