ID,country,year,assignment,lineage,lab_date,brgy,province,place,latitude,longitude,species,species_type,,
RADDL3-16-627,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,27/7/2016,Ligas,Bulacan,Malolos,14.82958643,120.8367451,Canis familiaris,Domestic Dog,,
RADDL3-845,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,2/9/2015,San Jose,Pampanga,Floridablanca,14.98771276,120.4868625,Canis familiaris,Domestic Dog,,
RADDL5-005,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,30/1/2015,San Nicolas,Camarines Sur,Iriga  ,13.44838237,123.4332975,Canis familiaris,Domestic Dog,,
Z-04-664,Philippines,2004,Asian SEA4,Asian SEA4_A1.2,15/12/2004,Lower Bicutan,Metro Manila,Taguig,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-05-102,Philippines,2005,Asian SEA4,Asian SEA4_D1,21/2/2005,,Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-05-191,Philippines,2005,Asian SEA4,Asian SEA4_A1.2,10/4/2005,Lower Bicutan,Metro Manila,Taguig,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-05-557,Philippines,2005,Asian SEA4,Asian SEA4_D1,3/12/2005,Rizal,Metro Manila,Makati,14.54943127,121.0335906,Canis familiaris,Domestic Dog,,
Z-05-96,Philippines,2005,Asian SEA4,Asian SEA4_A1.2,17/2/2005,Maywood Sucat,Metro Manila,Paranaque,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,
Z-06-150,Philippines,2006,Asian SEA4,Asian SEA4_A1,24/4/2006,Balete,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-06-295,Philippines,2006,Asian SEA4,Asian SEA4_B1.1,22/7/2006,Lucsuhin,Batangas,Calatagan,13.86384068,120.6585868,Canis familiaris,Domestic Dog,,
Z-06-39,Philippines,2006,Asian SEA4,Asian SEA4_B1,26/1/2006,Ambulong,Batangas,Tanauan  ,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,
Z-07-07,Philippines,2007,Asian SEA4,Asian SEA4_B1.1.1,8/1/2007,Tierra Nevada,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-07-22,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,23/1/2007,Dagatan,Cavite,Amadeo,14.187281,120.9251442,Canis familiaris,Domestic Dog,,
Z-07-222,Philippines,2007,Asian SEA4,Asian SEA4_B1.1.1,30/6/2007,-,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-07-351,Philippines,2007,Asian SEA4,Asian SEA4_D1,25/10/2007,Wawa,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-07-366,Philippines,2007,Asian SEA4,Asian SEA4_A1.2,12/11/2007,Timbol,Batangas,Lipa  ,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,
Z-07-38,Philippines,2007,Asian SEA4,Asian SEA4_D1,2/5/2007,Molino 6,Cavite,Bacoor,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,
Z-07-387,Philippines,2007,Asian SEA4,Asian SEA4_A1.2,7/12/2007,Bagong Liing,Quezon,San Antonio,13.89985141,121.2980234,Canis familiaris,Domestic Dog,,
Z-07-398,Philippines,2007,Asian SEA4,Asian SEA4_A1.1.2,19/12/2007,Paciano Rizal,Laguna,Calamba,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-07-403,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,22/12/2007,Sampagutia Exit,Quezon,Lucena  ,13.93834754,121.6153593,Canis familiaris,Domestic Dog,,
Z-07-407,Philippines,2007,Asian SEA4,Asian SEA4_A1.1.2,26/12/2007,Southland Talon 1,Metro Manila,Las Pinas,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-08-351,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,12/12/2008,-,Cavite,GMA,14.30698662,121.0184177,Canis familiaris,Domestic Dog,,
Z-08-359,Philippines,2007,Asian SEA4,Asian SEA4_A1.3.1,25/12/2008,San Lucas II,Laguna,San Pablo  ,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,
Z-09-94,Philippines,2009,Asian SEA4,Asian SEA4_A1.1.2,8/4/2009,Brgy 191,Metro Manila,Pasay  ,14.53080944,121.0041508,Canis familiaris,Domestic Dog,,
Z-12-012,Philippines,2012,Asian SEA4,Asian SEA4_A1.1.2,16/1/2012,Sulpoc,Batangas,Tanauan  ,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,
Z-12-029,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,3/2/2012,Sss Village,Metro Manila,Marikina  ,14.64718362,121.1030131,Canis familiaris,Domestic Dog,,
Z-12-034,Philippines,2012,Asian SEA4,Asian SEA4_A1.3.1,6/2/2012,Bgy. Santo Anghel,Laguna,San Pablo  ,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,
Z-12-060,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,25/2/2012,F.De Castro,Cavite,GMA,14.30698662,121.0184177,Canis familiaris,Domestic Dog,,
Z-12-149,Philippines,2012,Asian SEA4,Asian SEA4_A1.1.2,28/6/2012,Palayan,Oriental Mindoro,Pinamalayan,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,
Z-12-208,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,2/10/2012,De Paro St.,Metro Manila,Caloocan  ,14.74647256,121.0486805,Canis familiaris,Domestic Dog,,
Z-13-020,Philippines,2013,Asian SEA4,Asian SEA4_D1,2/2/2013,Sucat,Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-13-032,Philippines,2013,Asian SEA4,Asian SEA4_D1,14/2/2013,Lower Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-13-036,Philippines,2013,Asian SEA4,Asian SEA4_D1,25/2/2013,Upper Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-13-037,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,25/2/2013,-,Laguna,Cavinti,14.24291032,121.5551642,Canis familiaris,Domestic Dog,,
Z-13-065,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,4/4/2013,Dumuclay North,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-066,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,5/4/2013,Bayan Luma,Cavite,Imus  ,14.39822975,120.9319992,Canis familiaris,Domestic Dog,,
Z-13-071,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/4/2013,Golden Acres,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-13-073,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,12/4/2013,Bf Homes,Metro Manila,Paranaque  ,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,
Z-13-081,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,25/4/2013,Sto. Angel Norte,Laguna,Sta. Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
Z-13-086,Philippines,2013,Asian SEA4,Asian SEA4_D1,3/5/2013,San Carlos ,Rizal,Binangonan,14.49353136,121.1932147,Canis familiaris,Domestic Dog,,
Z-13-089,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,4/5/2013,Malainen Luma,Cavite,Naic,14.29182513,120.7960137,Canis familiaris,Domestic Dog,,
Z-13-094,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/5/2013,Palico II,Cavite,Imus,14.39822975,120.9319992,Canis familiaris,Domestic Dog,,
Z-13-096,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,12/5/2013,Bf International,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Felis catus,Cat,,
Z-13-098,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,13/5/2013,-,Metro Manila,San Juan  ,14.60295528,121.0338172,Canis familiaris,Domestic Dog,,
Z-13-134,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/6/2013,"Sto. Nino Vill.,Tunasan",Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-13-135,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,12/6/2013,Alulod,Cavite,Indang,14.18917642,120.8713283,Canis familiaris,Domestic Dog,,
Z-13-161,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,20/7/2013,Pansol,Laguna,Calamba  ,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-13-171,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,5/8/2013,Pinamocan Silangan,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-184,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,29/8/2013,Tabangaw,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-204,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,26/9/2013,Dayap,Laguna,Calauan,14.13318557,121.2951683,Canis familiaris,Domestic Dog,,
Z-13-216,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,25/10/2013,Bgy. 2,Occidental Mindoro,Mamburao,13.25401504,120.6612766,Canis familiaris,Domestic Dog,,
Z-13-234,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,15/11/2013,Mayapa,Laguna,Calamba ,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-13-259,Philippines,2013,Asian SEA4,Asian SEA4_C1,18/12/2013,  Pound,Cavite,Cavite  ,14.48021461,120.8978023,Canis familiaris,Domestic Dog,,
Z-14-023,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,31/1/2014,Poblacion I,Laguna,Sta. Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
Z-14-033,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,7/2/2014,"Bagumbayan, Zone 4",Quezon,Atimonan,13.98301338,121.8863992,Canis familiaris,Domestic Dog,,
Z-14-05,Philippines,2014,Asian SEA4,Asian SEA4_C1,5/1/2014,Pasong Camachile,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-14-058,Philippines,2014,Asian SEA4,Asian SEA4_D1,14/3/2014,-,Rizal,Taytay,14.56080116,121.1315174,Canis familiaris,Domestic Dog,,
Z-14-098,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,29/4/2014,Dita,Batangas,Cuenca,13.90952328,121.0537657,Canis familiaris,Domestic Dog,,
Z-14-101,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,4/5/2014,Upper Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-14-106,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,8/5/2014,Sta. Cruz,Cavite,Cavite  ,14.48021461,120.8978023,Felis catus,Cat,,
