"ID","year","country","assignment"
"4B-23-03",2023,"Philippines","Asian SEA4"
"4B-23-04",2023,"Philippines","Asian SEA4"
"4B-23-05",2023,"Philippines","Asian SEA4"
"4B-23-06",2023,"Philippines","Asian SEA4"
"4B-23-07",2023,"Philippines","Asian SEA4"
"4B-23-11",2023,"Philippines","Asian SEA4"
"4B-23-13",2023,"Philippines","Asian SEA4"
"4B-23-15",2023,"Philippines","Asian SEA4"
"4B-23-16",2023,"Philippines","Asian SEA4"
"4B-23-17",2023,"Philippines","Asian SEA4"
"4B-23-19",2023,"Philippines","Asian SEA4"
"4B-2422",2022,"Philippines","Asian SEA4"
"4B-2922HM",2022,"Philippines","Asian SEA4"
"4B-2922JG",2022,"Philippines","Asian SEA4"
"98-134",1998,"Philippines","Asian SEA4"
"98-206",1998,"Philippines","Asian SEA4"
"98-285",1998,"Philippines","Asian SEA4"
"98-286",1998,"Philippines","Asian SEA4"
"98-335",1998,"Philippines","Asian SEA4"
"H-23-011Sa11",2023,"Philippines","Asian SEA4"
"H-23-011Sk12",2023,"Philippines","Asian SEA4"
"R10-688",2021,"Philippines","Asian SEA4"
"R10-711",2021,"Philippines","Asian SEA4"
"R10-824",2021,"Philippines","Asian SEA4"
"R10-856",2021,"Philippines","Asian SEA4"
"R10-907",2021,"Philippines","Asian SEA4"
"R10-920",2021,"Philippines","Asian SEA4"
"R10-989",2021,"Philippines","Asian SEA4"
"R10-990",2021,"Philippines","Asian SEA4"
"R11-21-61",2021,"Philippines","Asian SEA4"
"R11-21-63",2021,"Philippines","Asian SEA4"
"R11-22-001",2022,"Philippines","Asian SEA4"
"R11-22-002",2022,"Philippines","Asian SEA4"
"R1-21-148",2021,"Philippines","Asian SEA4"
"R2-081",2020,"Philippines","Asian SEA4"
"R3-731",2021,"Philippines","Asian SEA4"
"R5-22-09",2022,"Philippines","Asian SEA4"
"R5-21-115",2021,"Philippines","Asian SEA4"
"R5-21-119",2021,"Philippines","Asian SEA4"
"R5-21-128",2021,"Philippines","Asian SEA4"
"R5-21-132",2021,"Philippines","Asian SEA4"
"R5-21-136",2021,"Philippines","Asian SEA4"
"R5-21-140",2021,"Philippines","Asian SEA4"
"R5-22-008",2022,"Philippines","Asian SEA4"
"R6-21-4375",2021,"Philippines","Asian SEA4"
"R6-21-4511",2021,"Philippines","Asian SEA4"
"R6-21-4600",2021,"Philippines","Asian SEA4"
"R6-4342",2021,"Philippines","Asian SEA4"
"R6-4568",2021,"Philippines","Asian SEA4"
"R7-21-161",2021,"Philippines","Asian SEA4"
"R9-010",2020,"Philippines","Asian SEA4"
"R9-074",2021,"Philippines","Asian SEA4"
"R9-089",2021,"Philippines","Asian SEA4"
"R9-105",2021,"Philippines","Asian SEA4"
"RADDL3-1045",2015,"Philippines","Asian SEA4"
"RADDL3-15-172",2015,"Philippines","Asian SEA4"
"RADDL3-16-468",2016,"Philippines","Asian SEA4"
"RADDL3-16-627",2016,"Philippines","Asian SEA4"
"RADDL3-845",2015,"Philippines","Asian SEA4"
"RADDL5-005",2015,"Philippines","Asian SEA4"
"Z-04-664",2004,"Philippines","Asian SEA4"
"Z-05-102",2005,"Philippines","Asian SEA4"
"Z-05-191",2005,"Philippines","Asian SEA4"
"Z-05-557",2005,"Philippines","Asian SEA4"
"Z-05-96",2005,"Philippines","Asian SEA4"
"Z-06-150",2006,"Philippines","Asian SEA4"
"Z-06-295",2006,"Philippines","Asian SEA4"
"Z-06-39",2006,"Philippines","Asian SEA4"
"Z-07-07",2007,"Philippines","Asian SEA4"
"Z-07-222",2007,"Philippines","Asian SEA4"
"Z-07-22",2007,"Philippines","Asian SEA4"
"Z-07-351",2007,"Philippines","Asian SEA4"
"Z-07-366",2007,"Philippines","Asian SEA4"
"Z-07-387",2007,"Philippines","Asian SEA4"
"Z-07-38",2007,"Philippines","Asian SEA4"
"Z-07-398",2007,"Philippines","Asian SEA4"
"Z-07-403",2007,"Philippines","Asian SEA4"
"Z-07-407",2007,"Philippines","Asian SEA4"
"Z-08-351",2007,"Philippines","Asian SEA4"
"Z-08-359",2007,"Philippines","Asian SEA4"
"Z-09-94",2009,"Philippines","Asian SEA4"
"Z-12-012",2012,"Philippines","Asian SEA4"
"Z-12-029",2012,"Philippines","Asian SEA4"
"Z-12-034",2012,"Philippines","Asian SEA4"
"Z-12-060",2012,"Philippines","Asian SEA4"
"Z-12-149",2012,"Philippines","Asian SEA4"
"Z-12-208",2012,"Philippines","Asian SEA4"
"Z-13-020",2013,"Philippines","Asian SEA4"
"Z-13-032",2013,"Philippines","Asian SEA4"
"Z-13-036",2013,"Philippines","Asian SEA4"
"Z-13-037",2013,"Philippines","Asian SEA4"
"Z-13-065",2013,"Philippines","Asian SEA4"
"Z-13-066",2013,"Philippines","Asian SEA4"
"Z-13-071",2013,"Philippines","Asian SEA4"
"Z-13-073",2013,"Philippines","Asian SEA4"
"Z-13-081",2013,"Philippines","Asian SEA4"
"Z-13-086",2013,"Philippines","Asian SEA4"
"Z-13-089",2013,"Philippines","Asian SEA4"
"Z-13-094",2013,"Philippines","Asian SEA4"
"Z-13-096",2013,"Philippines","Asian SEA4"
"Z-13-098",2013,"Philippines","Asian SEA4"
