ID,country,year,assignment
Z-05-96,Philippines,2005,Asian SEA4
Z-06-150,Philippines,2006,Asian SEA4
Z-06-295,Philippines,2006,Asian SEA4
Z-06-39,Philippines,2006,Asian SEA4
Z-07-07,Philippines,2007,Asian SEA4
Z-07-22,Philippines,2007,Asian SEA4
Z-07-222,Philippines,2007,Asian SEA4
Z-07-351,Philippines,2007,Asian SEA4
Z-07-366,Philippines,2007,Asian SEA4
Z-07-38,Philippines,2007,Asian SEA4
Z-07-387,Philippines,2007,Asian SEA4
Z-07-398,Philippines,2007,Asian SEA4
Z-07-403,Philippines,2007,Asian SEA4
Z-07-407,Philippines,2007,Asian SEA4
Z-08-351,Philippines,2007,Asian SEA4
Z-08-359,Philippines,2007,Asian SEA4
Z-09-94,Philippines,2009,Asian SEA4
Z-12-012,Philippines,2012,Asian SEA4
Z-12-029,Philippines,2012,Asian SEA4
Z-12-034,Philippines,2012,Asian SEA4
Z-12-060,Philippines,2012,Asian SEA4
Z-12-149,Philippines,2012,Asian SEA4
Z-12-208,Philippines,2012,Asian SEA4
Z-13-020,Philippines,2013,Asian SEA4
Z-13-032,Philippines,2013,Asian SEA4
Z-13-036,Philippines,2013,Asian SEA4
Z-13-037,Philippines,2013,Asian SEA4
Z-13-065,Philippines,2013,Asian SEA4
Z-13-066,Philippines,2013,Asian SEA4
Z-13-071,Philippines,2013,Asian SEA4
Z-13-073,Philippines,2013,Asian SEA4
Z-13-081,Philippines,2013,Asian SEA4
Z-13-086,Philippines,2013,Asian SEA4
Z-13-089,Philippines,2013,Asian SEA4
Z-13-094,Philippines,2013,Asian SEA4
Z-13-096,Philippines,2013,Asian SEA4
Z-13-098,Philippines,2013,Asian SEA4
Z-13-134,Philippines,2013,Asian SEA4
Z-13-135,Philippines,2013,Asian SEA4
Z-13-161,Philippines,2013,Asian SEA4
Z-13-171,Philippines,2013,Asian SEA4
Z-13-184,Philippines,2013,Asian SEA4
Z-13-204,Philippines,2013,Asian SEA4
Z-13-216,Philippines,2013,Asian SEA4
Z-13-234,Philippines,2013,Asian SEA4
Z-13-259,Philippines,2013,Asian SEA4
Z-14-023,Philippines,2014,Asian SEA4
Z-14-033,Philippines,2014,Asian SEA4
Z-14-05,Philippines,2014,Asian SEA4
Z-14-058,Philippines,2014,Asian SEA4
Z-14-098,Philippines,2014,Asian SEA4
Z-14-101,Philippines,2014,Asian SEA4
Z-14-106,Philippines,2014,Asian SEA4
Z-14-126,Philippines,2014,Asian SEA4
Z-14-136,Philippines,2014,Asian SEA4
Z-14-142,Philippines,2014,Asian SEA4
Z-14-182,Philippines,2014,Asian SEA4
Z-14-243,Philippines,2014,Asian SEA4
Z-15-001,Philippines,2015,Asian SEA4
Z-15-009,Philippines,2015,Asian SEA4
Z-15-163,Philippines,2015,Asian SEA4
Z-16-082,Philippines,2016,Asian SEA4
Z-16-150,Philippines,2016,Asian SEA4
Z-16-151,Philippines,2016,Asian SEA4
Z-16-196,Philippines,2016,Asian SEA4
Z-16-209,Philippines,2016,Asian SEA4
Z-16-210,Philippines,2016,Asian SEA4
Z-16-211,Philippines,2016,Asian SEA4
Z-17-046,Philippines,2017,Asian SEA4
Z-17-174,Philippines,2017,Asian SEA4
Z-17-177,Philippines,2017,Asian SEA4
Z-17-193,Philippines,2017,Asian SEA4
Z-17-200,Philippines,2017,Asian SEA4
Z-17-217,Philippines,2017,Asian SEA4
Z-17-221,Philippines,2017,Asian SEA4
Z-17-57,Philippines,2017,Asian SEA4
Z-18-001,Philippines,2018,Asian SEA4
Z-18-114,Philippines,2018,Asian SEA4
Z-18-159,Philippines,2018,Asian SEA4
Z-18-224,Philippines,2018,Asian SEA4
Z-18-251,Philippines,2018,Asian SEA4
Z-19-029,Philippines,2019,Asian SEA4
Z-19-123,Philippines,2019,Asian SEA4
Z-19-136,Philippines,2019,Asian SEA4
Z-19-88,Philippines,2019,Asian SEA4
Z-20-01,Philippines,2020,Asian SEA4
Z-20-110,Philippines,2020,Asian SEA4
Z-20-24,Philippines,2020,Asian SEA4
Z-20-33,Philippines,2020,Asian SEA4
Z-20-51,Philippines,2020,Asian SEA4
Z-22-103,Philippines,2022,Asian SEA4
Z-22-119,Philippines,2022,Asian SEA4
Z-22-121,Philippines,2022,Asian SEA4
Z-23-01,Philippines,2023,Asian SEA4
Z-23-01Sa,Philippines,2023,Asian SEA4
Z-98-1061,Philippines,1998,Asian SEA4
Z-98-134,Philippines,1998,Asian SEA4
Z-98-206,Philippines,1998,Asian SEA4
Z-98-285,Philippines,1998,Asian SEA4
Z-98-286,Philippines,1998,Asian SEA4
Z-98-335,Philippines,1998,Asian SEA4
Z-98-433,Philippines,1998,Asian SEA4
Z-98-454,Philippines,1998,Asian SEA4
Z-98-515,Philippines,1998,Asian SEA4
Z-98-616,Philippines,1998,Asian SEA4
Z-98-667,Philippines,1998,Asian SEA4
Z-98-712,Philippines,1998,Asian SEA4
Z-98-718,Philippines,1998,Asian SEA4
Z-98-780,Philippines,1998,Asian SEA4
Z-98-823,Philippines,1998,Asian SEA4
Z-98-838,Philippines,1998,Asian SEA4
Z-98-860,Philippines,1998,Asian SEA4
CAR-22-018,Philippines,2022,Asian SEA4
CAR-22-020,Philippines,2022,Asian SEA4
