ID,country,year,assignment,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
98-285,Philippines,1998,Asian SEA4,18/3/1998,-,San Pablo,Laguna,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,,
Z-08-359,Philippines,2007,Asian SEA4,25/12/2008,San Lucas II,San Pablo  ,Laguna,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,,
Z-12-034,Philippines,2012,Asian SEA4,6/2/2012,Bgy. Santo Anghel,San Pablo  ,Laguna,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,,
Z-20-110,Philippines,2020,Asian SEA4,23/10/2020,"Pacita Complex 1, San Vicente",San Pedro,Laguna,14.34936983,121.0384844,Canis familiaris,Domestic Dog,,,
Z-98-712,Philippines,1998,Asian SEA4,11/7/1998,Macantod,Siniloan,Laguna,14.43714914,121.4867785,Canis familiaris,Domestic Dog,,,
98-206,Philippines,1998,Asian SEA4,2/3/1998,Bagongbayan,Sta Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,,
Z-13-081,Philippines,2013,Asian SEA4,25/4/2013,Sto. Angel Norte,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,,
Z-14-023,Philippines,2014,Asian SEA4,31/1/2014,Poblacion I,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,,
Z-14-243,Philippines,2014,Asian SEA4,13/11/2014,Bubukal St.,Sta. Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,,
Z-23-01,Philippines,2023,Asian SEA4,3/1/2023,Balibago,Sta. Rosa ,Laguna,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,,
Z-23-01Sa,Philippines,2023,Asian SEA4,3/1/2023,Balibago,Sta. Rosa ,Laguna,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,,
Z-16-082,Philippines,2016,Asian SEA4,24/5/2016,Caingin,Sta. Rosa  ,Laguna,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,,
