ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
R5-21-136,Philippines,2021,Asian SEA4_A1.2,-,Libon,Albay,Bicol Region,13.24707931,123.3705704,Canis familiaris,02/12/2021
R5-21-140,Philippines,2021,Asian SEA4_A1.2,Calang Calawan,Vinzons,Camarines Norte,Bicol Region,14.19277209,122.8889974,Canis familiaris,10/12/2021
R5-22-008,Philippines,2022,Asian SEA4_A1.2,Sto. Cristo,Tabaco,Albay,Bicol Region,13.32537797,123.668741,Canis familiaris,02/02/2022
R6-21-4375,Philippines,2021,Asian SEA4_A1,Labigan,Sara,Iloilo,Western Visayas,11.29863894,122.9983924,Canis familiaris,01/10/2021
R6-21-4511,Philippines,2021,Asian SEA4_A1.2,San Isidro,Tibiao,Antique,Western Visayas,11.31177392,122.0839795,Canis familiaris,08/10/2021
R6-21-4600,Philippines,2021,Asian SEA4_A1,Jibao-An,Pavia,Iloilo,Western Visayas,10.76834195,122.5361294,Canis familiaris,14/10/2021
R6-4342,Philippines,2021,Asian SEA4_A1,Cabanban,Oton,Iloilo,Western Visayas,10.72535873,122.4673796,Bos taurus,30/09/2021
R6-4568,Philippines,2021,Asian SEA4_A1,Avila,Buenavista,Guimaras,Western Visayas,10.69136331,122.6621626,Canis familiaris,13/10/2021
R7-21-161,Philippines,2021,Asian SEA4_A1,Pusok,Lapu lapu,Cebu,Central Visayas,10.29788925,123.9784138,Canis familiaris,18/10/2021
R9-010,Philippines,2020,Asian SEA4_A1.2,San Roque,Zamboanga  ,Zamboanga Del Sur,Zamboanga Peninsula,7.154200895,122.139348,Felis catus,27/01/2020
R9-074,Philippines,2021,Asian SEA4_A1.2,Cogon,Sagun,Zamboanga Del Sur,Zamboanga Peninsula,7.519657705,123.1738437,Canis familiaris,20/08/2021
R9-089,Philippines,2021,Asian SEA4_A1.2,Pangi,Ipil,Zamboanga Sibugay,Zamboanga Peninsula,7.780235248,122.5765115,Canis familiaris,07/10/2021
R9-105,Philippines,2021,Asian SEA4_A1.2,Lopoc,Labason,Zamboanga Del Norte,Zamboanga Peninsula,8.030135135,122.5303567,Canis familiaris,09/12/2021
RADDL1-16-153,Philippines,2016,unknown,Real,Urbiztondo,Pangasinan,Ilocos Region,15.82353439,120.3636915,Canis familiaris,18/07/2016
